year,winner,winner_height,opponent,opponent_height
2008,Barack Obama,185,John McCain,175
2004,George W. Bush,182,John Kerry,193
2000,George W. Bush,182,Al Gore,185
1996,Bill Clinton,188,Bob Dole,187
1992,Bill Clinton,188,George H.W. Bush,188
1988,George H.W. Bush,188,Michael Dukakis,173
1984,Ronald Reagan,185,Walter Mondale,180
1980,Ronald Reagan,185,Jimmy Carter,177
1976,Jimmy Carter,177,Gerald Ford,183
1972,Richard Nixon,182,George McGovern,185
1968,Richard Nixon,182,Hubert Humphrey,180
1964,Lyndon B. Johnson,192,Barry Goldwater,180
1960,John F. Kennedy,185,Richard Nixon,182
1956,Dwight D. Eisenhower,179,Adlai Stevenson II,178
1952,Dwight D. Eisenhower,179,Adlai Stevenson II,178
1948,Harry S. Truman,175,Thomas Dewey,173
